ORF	IniProb	rand_mRNA
YDL095W	0.00100955838482783	25
YDL097C	0.00145134208691291	13
YDL098C	0.00104101234254777	2
YDL099W	0.00222543500293717	2
YDL100C	0.00193897875919147	23
YDL101C	0.000856181474272659	5
YDL102W	0.00116003069696101	4
YDL103C	0.00185123158218759	9
YDL104C	0.000936656153120912	1
YDL105W	0.000691613471326268	2
YDL106C	0.00126857598190509	2
YDL107W	0.000805728522347606	3
YDL108W	0.00126574679509686	4
YDL109C	0.000102405069952196	1
YDL110C	0.00219373628068409	5
YDL111C	0.000841997226046333	13
YDL112W	0.000679538137659806	8
YDL113C	0.000670172914257702	4
YDL115C	0.00147887130797251	2
YDL116W	0.000825981264327398	6
YDL117W	0.000507817043791982	4
YDL119C	0.00118667818089868	2
YDL120W	0.00112624180850177	1
YDL121C	0.00109672477885671	5
YDL122W	0.000688795510178807	8
YDL123W	0.00130441782969559	2
YDL124W	0.00177989656479852	18
YDL125C	0.00221817284533403	27
YDL126C	0.00199130046782117	41
YDL127W	0.000867171466100092	3
YDL128W	0.00109455391803189	8
YDL129W	0.000650542682896768	2
YDL130W	0.0038189493670033	222
YDL130WA	0.00332586369057854	7
YDL132W	0.000869008212225611	8
YDL133W	0.000441349403156875	4
YDL135C	0.0025612602492473	11
YDL138W	0.000205818541006256	2
YDL139C	0.00164647704156501	2
YDL140C	0.000762952843281199	17
YDL141W	0.000690609483191483	5
YDL142C	0.000963386090912348	2
YDL143W	0.00124213474093929	17
YDL144C	0.000845131867283551	3
YDL145C	0.000952670479893355	15
YDL146W	0.000421018009259146	5
YDL147W	0.00152059947466918	20
YDL148C	0.00156179089456656	6
YDL149W	0.000557479476259423	1
YDL150W	0.00116230193457074	4
YDL153C	0.00277463658816007	4
YDL154W	8.47844046703949e-05	2
YDL155W	0.000617966389451509	3
YDL156W	0.000950092991391114	2
YDL157C	0.00195022375331997	14
YDL159W	0.000828565409735806	4
YDL160C	0.00214079663861241	12
YDL160CA	0.0017179314633641	6
YDL161W	0.00175271619107424	6
YDL164C	0.000976604072775431	4
YDL165W	0.00154212218148862	6
YDL166C	0.00233073294643643	7
YDL167C	0.000704787111476023	2
YDL168W	0.00305708995596221	8
YDL170W	0.00053639013023287	2
YDL171C	0.00091642608576858	18
YDL173W	0.00146494224952957	4
YDL174C	0.000803683501195922	3
YDL175C	0.0011577260991905	2
YDL176W	0.000346426435267803	4
YDL177C	0.000754101982527762	6
YDL178W	0.00138677499809438	4
YDL179W	0.00110538966195576	1
YDL180W	0.000584554795938882	1
YDL181W	0.00303368375846632	2
YDL183C	0.000985383408101674	2
YDL185W	0.00168614488469441	58
YDL189W	0.000737014931317196	4
YDL190C	0.000939871266802915	4
YDL192W	0.00202498002070818	73
YDL193W	0.00151017439730221	7
YDL194W	0.000304697793718192	2
YDL195W	0.00114597805572333	13
YDL197C	0.000181860860464461	4
YDL198C	0.00173331929880302	4
YDL199C	0.000553930423568873	2
YDL200C	0.000977613056490829	3
YDL201W	0.00167712637373503	6
YDL202W	0.00139136298946527	6
YDL203C	0.000583898231715636	4
YDL204W	0.000260818471825551	1
YDL205C	0.00108185606774614	9
YDL206W	0.00021266214113718	4
YDL207W	0.000777830148035051	4
YDL208W	0.0032823618097508	24
YDL209C	0.000941610334556135	1
YDL211C	0.000532854139740336	2
YDL212W	0.00142928691848826	26
YDL213C	0.00241899029162767	11
YDL215C	0.000937150599642141	4
YDL216C	0.000746476912685669	3
YDL217C	0.00159879786253843	5
YDL219W	0.00179035481836064	9
YDL220C	0.000360515049033529	3
YDL223C	0.000263226518815548	1
YDL224C	0.000789694603898246	4
YDL225W	0.00183103412523481	5
YDL226C	0.00148584627900629	18
